[1] reduce_sum_exponential.stan
Levels: reduce_sum_exponential.stan reduce_sum_exponentialGQ.stan
[1] 4
[1] "Starting sampling."
Running MCMC with 4 parallel chains, with 4 thread(s) per chain...

Chain 1 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 2 dis: 311.191, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 2.04774, eps[k]: -1.01684, lambda: -2.23898e+32 
Chain 2 dis: 93.8483, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.80998, eps[k]: -1.01684, lambda: -6.75225e+31 
Chain 2 dis: 267.61, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 1.81925, eps[k]: -1.01684, lambda: -1.92542e+32 
Chain 2 dis: 248.969, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.35411, eps[k]: -1.01684, lambda: -1.7913e+32 
Chain 2 dis: 87.9584, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.892526, eps[k]: -1.01684, lambda: -6.32848e+31 
Chain 2 dis: 133.44, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.896733, eps[k]: -1.01684, lambda: -9.60082e+31 
Chain 2 dis: 80.729, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.936113, eps[k]: -1.01684, lambda: -5.80833e+31 
Chain 2 dis: 261.903, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.327252, eps[k]: -1.01684, lambda: -1.88436e+32 
Chain 2 dis: 177.224, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.539489, eps[k]: -1.01684, lambda: -1.2751e+32 
Chain 2 dis: 270.156, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.744496, eps[k]: -1.01684, lambda: -1.94373e+32 
Chain 2 dis: 294.489, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.41997, eps[k]: -1.01684, lambda: -2.11881e+32 
Chain 2 dis: 192.813, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 1.72408, eps[k]: -1.01684, lambda: -1.38726e+32 
Chain 2 dis: 159.593, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.82882, eps[k]: -1.01684, lambda: -1.14825e+32 
Chain 2 dis: 87.798, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.970109, eps[k]: -1.01684, lambda: -6.31694e+31 
Chain 2 dis: 138.723, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.56175, eps[k]: -1.01684, lambda: -9.98092e+31 
Chain 2 dis: 78.5156, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.03954, eps[k]: -1.01684, lambda: -5.64908e+31 
Chain 2 dis: 59.9251, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.39873, eps[k]: -1.01684, lambda: -4.31153e+31 
Chain 2 dis: 313.81, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.04006, eps[k]: -1.01684, lambda: -2.25782e+32 
Chain 2 dis: 158.914, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.465215, eps[k]: -1.01684, lambda: -1.14336e+32 
Chain 2 dis: 252.814, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.83074, eps[k]: -1.01684, lambda: -1.81896e+32 
Chain 2 dis: 321.125, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 1.56051, eps[k]: -1.01684, lambda: -2.31044e+32 
Chain 2 dis: 232.144, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.209881, eps[k]: -1.01684, lambda: -1.67024e+32 
Chain 2 dis: 245.807, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.76661, eps[k]: -1.01684, lambda: -1.76854e+32 
Chain 2 dis: 102.71, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.536626, eps[k]: -1.01684, lambda: -7.38984e+31 
Chain 2 dis: 319.158, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.98775, eps[k]: -1.01684, lambda: -2.2963e+32 
Chain 2 dis: 231.463, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.625292, eps[k]: -1.01684, lambda: -1.66534e+32 
Chain 2 dis: 208.98, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.0459643, eps[k]: -1.01684, lambda: -1.50358e+32 
Chain 2 dis: 329.319, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.42756, eps[k]: -1.01684, lambda: -2.3694e+32 
Chain 2 dis: 206.662, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 1.35562, eps[k]: -1.01684, lambda: -1.4869e+32 
Chain 2 dis: 350.095, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.23426, eps[k]: -1.01684, lambda: -2.51888e+32 
Chain 2 dis: 387.175, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 1.83391, eps[k]: -1.01684, lambda: -2.78567e+32 
Chain 2 dis: 319.45, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.0072848, eps[k]: -1.01684, lambda: -2.29839e+32 
Chain 2 dis: 381.25, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.220848, eps[k]: -1.01684, lambda: -2.74304e+32 
Chain 2 dis: 197.321, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.65184, eps[k]: -1.01684, lambda: -1.4197e+32 
Chain 2 dis: 410.671, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.845847, eps[k]: -1.01684, lambda: -2.95472e+32 
Chain 2 dis: 79.0983, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 1.20933, eps[k]: -1.01684, lambda: -5.691e+31 
Chain 2 dis: 186.908, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.853645, eps[k]: -1.01684, lambda: -1.34478e+32 
Chain 2 dis: 306.764, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.16031, eps[k]: -1.01684, lambda: -2.20712e+32 
Chain 2 dis: 408.643, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 1.88395, eps[k]: -1.01684, lambda: -2.94012e+32 
Chain 2 dis: 341.713, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.070029, eps[k]: -1.01684, lambda: -2.45857e+32 
Chain 2 dis: 289.338, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.231771, eps[k]: -1.01684, lambda: -2.08175e+32 
Chain 2 dis: 276.619, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.75487, eps[k]: -1.01684, lambda: -1.99023e+32 
Chain 2 dis: 289.801, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 1.16296, eps[k]: -1.01684, lambda: -2.08508e+32 
Chain 2 dis: 124.9, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.61637, eps[k]: -1.01684, lambda: -8.98639e+31 
