[1] reduce_sum_exponential.stan
Levels: reduce_sum_exponential.stan reduce_sum_exponentialGQ.stan
[1] 4
[1] "Starting sampling."
Running MCMC with 4 parallel chains, with 4 thread(s) per chain...

Chain 1 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 2 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 2 dis: 303.165, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.85836, zeta[i]: -0.914498, eps[k]: -0.162133, lambda: -inf 
Chain 2 dis: 357.388, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.511352, zeta[i]: -0.914498, eps[k]: 0.173276, lambda: -1.79675e+34 
Chain 2 dis: 418.083, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.745178, zeta[i]: -0.914498, eps[k]: -1.30354, lambda: -inf 
Chain 2 dis: 482.815, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.02998, zeta[i]: -0.914498, eps[k]: -2.41841, lambda: -inf 
Chain 2 dis: 197.386, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.34103, zeta[i]: -0.914498, eps[k]: -2.89754, lambda: -inf 
Chain 2 dis: 315.191, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.18965, zeta[i]: -0.914498, eps[k]: -57.2551, lambda: -inf 
Chain 2 dis: 382.639, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.04431, zeta[i]: -0.914498, eps[k]: -192.193, lambda: -inf 
Chain 2 dis: 452.471, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.509924, zeta[i]: -0.914498, eps[k]: -0.0133755, lambda: -9.23426e+34 
Chain 2 dis: 147.752, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.07972, zeta[i]: -0.914498, eps[k]: -11.6507, lambda: -inf 
Chain 2 dis: 215.401, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.877506, zeta[i]: -0.914498, eps[k]: -1.59724, lambda: -inf 
Chain 2 dis: 286.731, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.528865, zeta[i]: -0.914498, eps[k]: 1.63816, lambda: -4.99049e+26 
Chain 2 dis: 433.127, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.958341, zeta[i]: -0.914498, eps[k]: -3.22185, lambda: -inf 
Chain 2 dis: 126.293, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.0841977, zeta[i]: -0.914498, eps[k]: -0.524956, lambda: -3.2898e+287 
Chain 2 dis: 201.288, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.32583, zeta[i]: -0.914498, eps[k]: -468.4, lambda: -inf 
Chain 2 dis: 276.287, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.644807, zeta[i]: -0.914498, eps[k]: -0.4514, lambda: -inf 
Chain 2 dis: 351.285, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.054427, zeta[i]: -0.914498, eps[k]: 0.484801, lambda: -8.03471e+228 
Chain 2 dis: 146.011, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.91243, zeta[i]: -0.914498, eps[k]: -142.352, lambda: -inf 
Chain 2 dis: 214.211, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.25655, zeta[i]: -0.914498, eps[k]: -0.987613, lambda: -inf 
Chain 2 dis: 285.838, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.464287, zeta[i]: -0.914498, eps[k]: -12.009, lambda: -inf 
Chain 2 dis: 432.537, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.936751, zeta[i]: -0.914498, eps[k]: -120.046, lambda: -inf 
Chain 2 dis: 388.217, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.159276, zeta[i]: -0.169699, eps[k]: -1.18416, lambda: -inf 
Chain 2 dis: 314.095, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.85836, zeta[i]: -0.169699, eps[k]: -0.162133, lambda: -inf 
Chain 2 dis: 240.519, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.511352, zeta[i]: -0.169699, eps[k]: 0.173276, lambda: -1.2092e+34 
Chain 2 dis: 168.205, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.745178, zeta[i]: -0.169699, eps[k]: -1.30354, lambda: -inf 
Chain 2 dis: 99.9329, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.02998, zeta[i]: -0.169699, eps[k]: -2.41841, lambda: -inf 
Chain 2 dis: 405.376, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.34103, zeta[i]: -0.169699, eps[k]: -2.89754, lambda: -inf 
Chain 2 dis: 267.333, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.18965, zeta[i]: -0.169699, eps[k]: -57.2551, lambda: -inf 
