"","ClusterIndex","Probability","OffspringID","FatherID","MotherID"
"569","891",0.7536,"HR5_28_01","*339","#339"
"570","340",1,"HR6_07A_02","*340","#340"
"571","340",1,"NR8_09_03","*340","#340"
"572","341",1,"HR6_07A_03","*341","#341"
"573","342",1,"HR6_12C_03","*342","#342"
"574","343",1,"HR6_19A_01","*343","#343"
"575","343",1,"HR8_36_03","*343","#343"
"576","344",1,"HR6_23_01","*344","#344"
"577","344",1,"HR8_07A_04","*344","#344"
"578","344",1,"HR9_28_01","*344","#344"
"579","345",1,"HR6_24_01","*345","#345"
"580","346",1,"HR6_24_02","*346","#346"
"581","346",1,"SD7_15_01","*346","#346"
"582","347",1,"HR6_24_05","*347","#347"
"583","348",1,"HR6_24_08","*348","#348"
"584","348",1,"NR7_27_05","*348","#348"
"585","349",1,"HR6_24_11","*349","#349"
"586","349",1,"NR1_22_02","*349","#349"
"587","350",1,"HR6_27_03","*350","#350"
"588","351",1,"HR6_28_01","*351","#351"
"589","352",1,"HR6_28_02","*352","#352"
"590","352",1,"PM4_54A_05","*352","#352"
"591","892",0.7356,"HR6_28_03","*353","#353"
"592","893",0.7356,"HR7_22_02","*353","#353"
"593","894",0.7356,"HR9_20A_04","*353","#353"
"594","354",1,"HR6_28_05","*354","#354"
"595","354",1,"HR10_28_10","*354","#354"
"596","354",1,"HR14_21_01","*354","#354"
"597","354",1,"HR14_32_01","*354","#354"
"598","355",1,"HR6_32_01","*355","#355"
"599","355",1,"W7_24_01","*355","#355"
"600","356",1,"HR6_36_01","*356","#356"
"601","356",1,"HR6_36_02","*356","#356"
"602","356",1,"HR6_36_03","*356","#356"
"603","357",1,"HR7_01_01","*357","#357"
"604","357",1,"HR8_28_03","*357","#357"
"605","358",0.9788,"HR7_04_01","*358","#358"
"606","358",0.9788,"SD9_09_02","*358","#358"
"607","359",1,"HR7_04_02","*359","#359"
"608","359",1,"HR10_04_02","*359","#359"
"609","359",1,"HR14_21_02","*359","#359"
"610","360",1,"HR7_04_03","*360","#360"
"611","361",1,"HR7_04_06","*361","#361"
"612","362",1,"HR7_05A_01","*362","#362"
"613","363",1,"HR7_07A_01","*363","#363"
"614","363",1,"HR7_12C_06","*363","#363"
"615","364",1,"HR7_07A_02","*364","#364"
"616","364",1,"HR9_19A_01","*364","#364"
"617","365",1,"HR7_07A_04","*365","#365"
"618","365",1,"HR8_31_01","*365","#365"
"619","366",1,"HR7_07A_05","*366","#366"
"620","366",1,"HR7_10_03","*366","#366"
"621","366",1,"HR8_07A_02","*366","#366"
"622","366",1,"HR9_28_02","*366","#366"
"623","367",1,"HR7_07A_06","*367","#367"
"624","367",1,"HR8_28_09","*367","#367"
"625","367",1,"HR9_23_02","*367","#367"
"626","367",1,"HR9_28_04","*367","#367"
"627","368",1,"HR7_10_08","*368","#368"
"628","369",1,"HR7_10_10","*369","#369"
"629","370",1,"HR7_12_06","*370","#370"
"630","370",1,"PM5_70_08","*370","#370"
"631","371",1,"HR7_12C_03","*371","#371"
"632","371",1,"W10_11_03","*371","#371"
"633","895",0.8978,"HR7_12C_04","*372","#372"
"634","373",1,"HR7_12C_05","*373","#373"
"635","374",1,"HR7_22_01","*374","#374"
"636","374",1,"SD9_30_10","*374","#374"
"637","375",1,"HR7_23_01","*375","#375"
"638","376",1,"HR7_27_02","*376","#376"
"639","377",1,"HR7_27_04","*377","#377"
"640","377",1,"HR8_07A_06","*377","#377"
"641","378",1,"HR7_28_02","*378","#378"
"642","379",1,"HR7_28_04","*379","#379"
"643","379",1,"HR8_28_06","*379","#379"
"644","896",0.9489,"HR7_28_05","*380","#380"
"645","897",0.9489,"HR8_33_01","*380","#380"
"646","381",1,"HR7_28_06","*381","#381"
"647","381",1,"HR10_03_01","*381","#381"
"648","381",1,"SD6_26_15","*381","#381"
"649","382",1,"HR7_28_07","*382","#382"
"650","382",1,"SD8_29_08","*382","#382"
"651","383",1,"HR7_31_01","*383","#383"
"652","383",1,"NR3_02_02","*383","#383"
"653","384",1,"HR7_35_01","*384","#384"
"654","385",1,"HR7_36_02","*385","#385"
"655","386",1,"HR7_36_03","*386","#386"
"656","386",1,"NR8_27_01","*386","#386"
"657","387",1,"HR7_36_04","*387","#387"
"658","388",1,"HR7_36_05","*388","#388"
"659","389",1,"HR8_03_01","*389","#389"
"660","389",1,"NR16_16_01","*389","#389"
"661","390",1,"HR8_04_01","*390","#390"
"662","391",1,"HR8_05A_01","*391","#391"
"663","391",1,"HR8_26_01","*391","#391"
"664","391",1,"HR14_32_02","*391","#391"
"665","392",1,"HR8_07A_05","*392","#392"
"666","392",1,"HR10_09_01","*392","#392"
"667","393",1,"HR8_07A_07","*393","#393"
"668","393",1,"HR10_07A_06","*393","#393"
"669","394",1,"HR8_10_02","*394","#394"
"670","395",1,"HR8_12C_04","*395","#395"
"671","395",1,"HR8_25_01","*395","#395"
"672","395",1,"HR8_36_04","*395","#395"
"673","396",1,"HR8_19A_01","*396","#396"
"674","396",1,"HR9_19A_02","*396","#396"
"675","396",1,"HR9_22_04","*396","#396"
"676","397",1,"HR8_19A_02","*397","#397"
"677","398",1,"HR8_22_02","*398","#398"
"678","399",1,"HR8_22_03","*399","#399"
"679","399",1,"HR9_20A_02","*399","#399"
"680","399",1,"HR9_20A_05","*399","#399"
"681","399",1,"HR10_20A_01","*399","#399"
"682","400",1,"HR8_23_01","*400","#400"
"683","400",1,"HR13_27_01","*400","#400"
"684","401",1,"HR8_23_02","*401","#401"
"685","402",1,"HR8_23_03","*402","#402"
"686","402",1,"HR9_07A_03","*402","#402"
"687","403",1,"HR8_23_04","*403","#403"
"688","404",1,"HR8_23_06","*404","#404"
"689","404",1,"HR10_23_01","*404","#404"
"690","405",1,"HR8_26_02","*405","#405"
"691","406",1,"HR8_27_01","*406","#406"
"692","406",1,"HR8_27_03","*406","#406"
"693","406",1,"HR10_26_02","*406","#406"
"694","406",1,"HR14_16_01","*406","#406"
"695","407",1,"HR8_27_04","*407","#407"
"696","408",1,"HR8_28_01","*408","#408"
"697","409",1,"HR8_28_04","*409","#409"
"698","410",1,"HR8_28_05","*410","#410"
"699","411",0.9981,"HR8_28_07","*411","#411"
"700","412",1,"HR8_28_08","*412","#412"
"701","412",1,"SD5_24_03","*412","#412"
"702","413",1,"HR8_33_02","*413","#413"
"703","414",1,"HR8_36_02","*414","#414"
"704","415",1,"HR8_36_07","*415","#415"
"705","415",1,"HR10_22_03","*415","#415"
"706","416",1,"HR9_01_01","*416","#416"
"707","416",1,"HR10_28_04","*416","#416"
"708","416",1,"HR10_28_08","*416","#416"
"709","416",1,"HR14_04_01","*416","#416"
"710","416",1,"HR14_07A_01","*416","#416"
"711","417",1,"HR9_06A_01","*417","#417"
"712","418",1,"HR9_07A_01","*418","#418"
"713","419",1,"HR9_07A_04","*419","#419"
"714","420",1,"HR9_07A_05","*420","#420"
"715","420",1,"HR10_07A_04","*420","#420"
"716","421",1,"HR9_10_01","*421","#421"
"717","421",1,"PM10_53_01","*421","#421"
"718","422",1,"HR9_12C_01","*422","#422"
"719","422",1,"SD8_36_01","*422","#422"
"720","423",1,"HR9_20A_01","*423","#423"
"721","424",1,"HR9_20A_03","*424","#424"
"722","424",1,"NR9_14A_05","*424","#424"
"723","425",1,"HR9_22_01","*425","#425"
"724","426",1,"HR9_22_02","*426","#426"
"725","426",1,"HR10_22_01","*426","#426"
"726","427",1,"HR9_22_03","*427","#427"
"727","428",1,"HR9_23_01","*428","#428"
"728","429",1,"HR9_23_03","*429","#429"
"729","429",1,"HR14_12C_01","*429","#429"
"730","430",1,"HR9_28_03","*430","#430"
"731","431",1,"HR9_33_01","*431","#431"
"732","431",1,"SD6_24_02","*431","#431"
"733","432",1,"HR9_36_04","*432","#432"
"734","433",1,"HR9_36_05","*433","#433"
"735","434",1,"HR9_36_07","*434","#434"
"736","435",1,"HR9_36_08","*435","#435"
"737","435",1,"PM15_46_01","*435","#435"
"738","436",1,"HR10_04_01","*436","#436"
"739","436",1,"NR8_32_01","*436","#436"
"740","437",1,"HR10_07A_01","*437","#437"
"741","437",1,"SD9_37_01","*437","#437"
"742","438",1,"HR10_07A_02","*438","#438"
"743","438",1,"HR14_13_01","*438","#438"
"744","439",1,"HR10_07A_03","*439","#439"
"745","440",1,"HR10_19A_01","*440","#440"
"746","440",1,"HR10_25_01","*440","#440"
"747","441",1,"HR10_22_02","*441","#441"
"748","441",1,"NR7_27_03","*441","#441"
"749","442",1,"HR10_22_04","*442","#442"
"750","442",1,"HR10_28_07","*442","#442"
"751","443",0.9564,"HR10_22_05","*443","#443"
"752","443",0.9564,"PM3_54_03","*443","#443"
"753","444",1,"HR10_24_01","*444","#444"
"754","444",1,"W9_19_03","*444","#444"
"755","445",1,"HR10_26_01","*445","#445"
"756","446",1,"HR10_28_01","*446","#446"
"757","447",1,"HR10_28_02","*447","#447"
"758","447",1,"NR3_29_05","*447","#447"
"759","448",1,"HR10_28_03","*448","#448"
"760","448",1,"HR10_28_11","*448","#448"
"761","449",1,"HR10_28_05","*449","#449"
"762","449",1,"SD9_25_01","*449","#449"
"763","450",1,"HR10_28_06","*450","#450"
"764","450",1,"NR5_15A_01","*450","#450"
"765","450",1,"W7_24_03","*450","#450"
"766","451",1,"HR10_36_03","*451","#451"
"767","452",1,"HR10_36_05","*452","#452"
"768","453",1,"HR10_36_06","*453","#453"
"769","454",1,"HR14_05A_01","*454","#454"
"770","454",1,"W6_28_01","*454","#454"
"771","455",1,"HR14_06A_01","*455","#455"
"772","456",1,"HR14_19A_01","*456","#456"
"773","456",1,"HR14_27_01","*456","#456"
"774","457",0.9991,"HR14_26_01","*457","#457"
"775","458",1,"HR14_28_01","*458","#458"
"776","459",1,"HR15_01_01","*459","#459"
"777","459",1,"NR7_24_03","*459","#459"
"778","460",1,"HR16_18_01","*460","#460"
"779","461",1,"HR17_34_01","*461","#461"
"780","462",1,"HR18_01_01","*462","#462"
"781","463",1,"NR1_08_01","*463","#463"
"782","464",1,"NR1_22_03","*464","#464"
"783","465",1,"NR2_24_01","*465","#465"
"784","465",1,"SD10_40_03","*465","#465"
"785","898",0.5012,"NR2_24_02","*466","#466"
"786","467",1,"NR2_24_03","*467","#467"
"787","467",1,"W5_08_01","*467","#467"
"788","467",1,"W5_09_02","*467","#467"
"789","467",1,"W10_30_01","*467","#467"
"790","468",1,"NR2_27_01","*468","#468"
"791","899",0.6884,"NR2_27_02","*469","#469"
"792","900",0.8869,"NR3_01_03","*470","#470"
"793","471",1,"NR3_01_06","*471","#471"
"794","471",1,"SD16_03_01","*471","#471"
