"","ClusterIndex","Probability","OffspringID","FatherID","MotherID"
"797","502",0.9901,"HR19_27_13","*502","#502"
"798","502",0.9901,"HR23_27_01","*502","#502"
"799","503",1,"NR23_24_12","*503","#503"
"800","504",1,"NR23_24_13","*504","#504"
"801","505",1,"NR23_25_01","*505","#505"
"802","505",1,"NR22_25_05","*505","#505"
"803","829",0.8584,"NR23_24_14","*506","#506"
"804","830",0.8808,"NR23_29_05","*507","#507"
"805","508",1,"NR22_14B_01","*508","#508"
"806","509",1,"NR22_09_01","*509","#509"
"807","509",1,"NR20_01_10","*509","#509"
"808","510",1,"NR22_28_01","*510","#510"
"809","511",1,"NR23_18_01","*511","#511"
"810","511",1,"NR20_44_14","*511","#511"
"811","512",1,"NR22_01_02","*512","#512"
"812","513",1,"NR23_24_15","*513","#513"
"813","513",1,"NR21_24_02","*513","#513"
"814","514",1,"NR22_01_01","*514","#514"
"815","515",1,"NR23_22_01","*515","#515"
"816","515",1,"NR20_22_01","*515","#515"
"817","516",0.968,"NR23_44_01","*516","#516"
"818","517",1,"NR22_22_03","*517","#517"
"819","518",1,"NR21_16_01","*518","#518"
"820","518",1,"HR19_32_06","*518","#518"
"821","519",1,"NR22_29_01","*519","#519"
"822","519",1,"NR21_27_02","*519","#519"
"823","520",1,"NR23_06A_02","*520","#520"
"824","520",1,"W19_15_01","*520","#520"
"825","521",1,"NR22_29_03","*521","#521"
"826","522",1,"NR22_01_03","*522","#522"
"827","523",1,"NR22_22_01","*523","#523"
"828","523",1,"NR20_27_01","*523","#523"
"829","524",1,"NR21_27_05","*524","#524"
"830","525",1,"NR21_16_03","*525","#525"
"831","526",1,"NR22_22_04","*526","#526"
"832","527",1,"NR22_22_02","*527","#527"
"833","528",1,"NR22_23_01","*528","#528"
"834","529",1,"NR21_07A_02","*529","#529"
"835","529",1,"NR20_07A_02","*529","#529"
"836","530",1,"NR23_07A_04","*530","#530"
"837","530",1,"HR22_12_02","*530","#530"
"838","531",1,"HR19_25_01","*531","#531"
"839","532",1,"HR19_18_02","*532","#532"
"840","533",1,"HR19_04_06","*533","#533"
"841","533",1,"W18_15_01","*533","#533"
"842","534",1,"HR19_23_01","*534","#534"
"843","534",1,"NR20_08_03","*534","#534"
"844","535",1,"HR19_31_04","*535","#535"
"845","536",1,"HR19_16_01","*536","#536"
"846","537",1,"HR19_07_01","*537","#537"
"847","537",1,"HR22_07_03","*537","#537"
"848","538",1,"HR19_18_01","*538","#538"
"849","539",1,"HR19_07_12","*539","#539"
"850","540",1,"HR19_32_10","*540","#540"
"851","541",1,"HR19_32_21","*541","#541"
"852","542",1,"HR24_16_01","*542","#542"
"853","543",1,"HR24_18_12","*543","#543"
"854","544",1,"HR22_12_01","*544","#544"
"855","544",1,"HR21_12_06","*544","#544"
"856","545",1,"HR24_12_01","*545","#545"
"857","546",1,"HR24_07A_08","*546","#546"
"858","546",1,"HR19_07_03","*546","#546"
"859","547",1,"HR19_09_04","*547","#547"
"860","548",1,"HR22_27_01","*548","#548"
"861","549",1,"HR21_16_01","*549","#549"
"862","549",1,"HR24_18_11","*549","#549"
"863","550",1,"NR20_29_07","*550","#550"
"864","551",1,"HR21_07A_01","*551","#551"
"865","551",1,"HR20_07_16","*551","#551"
"866","552",1,"HR20_27_02","*552","#552"
"867","552",1,"HR20_27_09","*552","#552"
"868","553",1,"HR21_10_01","*553","#553"
"869","553",1,"HR22_09_01","*553","#553"
"870","554",1,"HR21_12_05","*554","#554"
"871","555",1,"HR20_27_03","*555","#555"
"872","555",1,"HR20_07_05","*555","#555"
"873","556",1,"HR21_27_01","*556","#556"
"874","556",1,"NR20_29_01","*556","#556"
"875","557",1,"HR21_16_04","*557","#557"
"876","558",1,"HR21_16_05","*558","#558"
"877","558",1,"HR22_07_01","*558","#558"
"878","559",1,"HR20_28_01","*559","#559"
"879","559",1,"HR21_05A_02","*559","#559"
"880","560",1,"HR20_06A_01","*560","#560"
"881","561",1,"HR20_27_10","*561","#561"
"882","562",1,"W20_05_09","*562","#562"
"883","562",1,"W20_05_07","*562","#562"
"884","562",1,"NR20_44_08","*562","#562"
"885","563",1,"HR20_14_01","*563","#563"
"886","563",1,"W18_29_01","*563","#563"
"887","564",1,"HR21_19A_02","*564","#564"
"888","565",1,"HR20_07_19","*565","#565"
"889","565",1,"W19_08_03","*565","#565"
"890","566",0.998,"HR20_05A_01","*566","#566"
"891","567",1,"HR20_07_06","*567","#567"
"892","567",1,"HR20_28_02","*567","#567"
"893","568",1,"W20_18_02","*568","#568"
"894","569",1,"W20_40_02","*569","#569"
"895","570",1,"W20_29_02","*570","#570"
"896","570",1,"HR20_33_04","*570","#570"
"897","571",0.9952,"NR22_27_02","*571","#571"
"898","572",1,"NR21_25_01","*572","#572"
"899","573",1,"NR22_08_01","*573","#573"
"900","574",1,"NR22_24_01","*574","#574"
"901","575",1,"NR21_01_02","*575","#575"
"902","575",1,"NR20_01_04","*575","#575"
"903","575",1,"NR21_01_01","*575","#575"
"904","576",1,"NR21_31_01","*576","#576"
"905","577",1,"NR21_02_03","*577","#577"
"906","578",1,"NR22_27_01","*578","#578"
"907","578",1,"NR20_27_08","*578","#578"
"908","579",1,"NR21_01_05","*579","#579"
"909","579",1,"W20_29_01","*579","#579"
"910","580",1,"NR21_29_02","*580","#580"
"911","580",1,"W18_08_01","*580","#580"
"912","581",1,"NR20_27_03","*581","#581"
"913","582",1,"NR20_28_02","*582","#582"
"914","583",1,"NR21_27_01","*583","#583"
"915","583",1,"W19_33_01","*583","#583"
"916","584",1,"NR21_44_01","*584","#584"
"917","584",1,"NR20_01_09","*584","#584"
"918","585",1,"NR21_01_03","*585","#585"
"919","585",1,"NR20_01_11","*585","#585"
"920","586",1,"HR19_24_02","*586","#586"
"921","587",1,"HR19_25_04","*587","#587"
"922","587",1,"HR19_25_02","*587","#587"
"923","588",1,"HR19_24_04","*588","#588"
"924","589",1,"NR20_24_05","*589","#589"
"925","589",1,"ED20_10_16","*589","#589"
"926","590",1,"NR21_19_01","*590","#590"
"927","590",1,"NR20_19_03","*590","#590"
"928","591",1,"NR21_29_01","*591","#591"
"929","591",1,"NR19_28_01","*591","#591"
"930","592",1,"HR19_32_13","*592","#592"
"931","593",0.982,"HR19_32_19","*593","#593"
"932","593",0.982,"HR19_32_11","*593","#593"
"933","594",1,"HR19_07_06","*594","#594"
"934","595",1,"HR19_27_07","*595","#595"
"935","596",1,"HR19_32_01","*596","#596"
"936","597",1,"HR19_32_20","*597","#597"
"937","598",1,"HR19_32_09","*598","#598"
"938","599",1,"HR19_33_02","*599","#599"
"939","831",0.849,"HR19_32_02","*600","#600"
"940","601",1,"HR19_12_03","*601","#601"
"941","832",0.9053,"HR19_32_07","*602","#602"
"942","603",1,"HR19_24_05","*603","#603"
"943","604",1,"HR19_09_03","*604","#604"
"944","604",1,"W20_15_01","*604","#604"
"945","605",1,"HR19_05A_01","*605","#605"
"946","606",1,"HR23_07A_01","*606","#606"
"947","606",1,"HR23_07A_04","*606","#606"
"948","607",1,"HR24_07A_07","*607","#607"
"949","607",1,"HR20_07_10","*607","#607"
"950","608",1,"HR24_12_03","*608","#608"
"951","608",1,"HR17_32_06","*608","#608"
"952","609",1,"HR22_07_04","*609","#609"
"953","610",1,"HR22_07_05","*610","#610"
"954","611",1,"HR22_10_01","*611","#611"
"955","611",1,"W19_31_01","*611","#611"
"956","612",1,"HR24_27_01","*612","#612"
"957","613",1,"HR21_12_02","*613","#613"
"958","614",1,"HR23_16_03","*614","#614"
"959","614",1,"HR20_05A_02","*614","#614"
"960","615",1,"HR23_12_01","*615","#615"
"961","616",1,"HR22_33_01","*616","#616"
"962","616",1,"NR19_08_02","*616","#616"
"963","617",1,"HR20_04_02","*617","#617"
"964","617",1,"NR19_28_02","*617","#617"
"965","618",1,"HR20_05A_09","*618","#618"
"966","833",0.81,"HR22_21_02","*619","#619"
"967","620",1,"HR22_07_02","*620","#620"
"968","621",1,"HR21_16_03","*621","#621"
"969","622",1,"W20_05_03","*622","#622"
"970","622",1,"W18_05_02","*622","#622"
"971","623",1,"W20_18_01","*623","#623"
"972","623",1,"W19_17_04","*623","#623"
